,글쎄요,보고싶어요,참여인원,평점,title,y,런타임,장르,개봉일,등급,개봉년도,개봉월
416,6309,12459,976,7.81,도리화가 (桃李花歌),0,109,['드라마'],['2015.11.25'],12세,2015,11
417,0,0,30,3.63,도마 안중근 (Doma Ahn Joong Keun),0,83,['드라마'],['2004.09.10'],전체,2004,9
418,10,157,41,9.34,도시에서 그녀가 피할 수 없는 것들 (The Things She Can't Avoid In The City),0,13,"['애니메이션', '판타지', '멜로/로맨스']",[],15세,0,0
419,0,0,115,9.49,도쿄 택시 (東京タクシ?),0,75,"['코미디', '드라마', '멜로/로맨스']",['2010.05.20'],전체,2010,5
420,192,1420,92,8.93,도희야 (A Girl at My Door),0,120,['드라마'],['2014.05.22'],청소년,2014,5
421,33,85,12,8.36,독개구리 (POISON FROG),0,30,['전쟁'],[],,0,0
422,5,151,13,9.31,독고탁 - 태양을 향해 던져라,0,0,"['애니메이션', '가족', '드라마']",[],,0,0
423,2,69,11,8.82,독고탁 2 - 내 이름은 독고탁,0,70,"['애니메이션', '가족', '드라마', '코미디']",[],,0,0
424,0,0,10,8.8,독도야 반갑다,0,89,"['드라마', '다큐멘터리']",['2011.09.29'],12세,2011,9
425,66,1692,47,9.17,돈,0,0,['범죄'],[],,0,0
426,0,0,1394,7.91,돈 크라이 마미 (Don't Cry Mommy),0,91,"['스릴러', '드라마']",['2012.11.22'],15세,2012,11
427,0,0,12,6.83,돈 텔 파파 (Don't Tell Papa),0,102,"['코미디', '드라마']",['2004.09.03'],15세,2004,9
428,0,0,182,7.2,돈의 맛 (The Taste Of Money),0,115,['드라마'],['2012.05.17'],청소년,2012,5
429,0,0,25,8.56,돌려차기 (Taekwon Boys),0,109,"['코미디', '액션']",['2004.07.23'],12세,2004,7
430,48,841,73,9.55,돌아온다 (The Return),0,96,['드라마'],['2017.12.07'],12세,2017,12
431,309,1224,231,7.14,돌아와요 부산항애(愛) (BROTHERS IN HEAVEN),0,114,"['범죄', '액션', '드라마']",['2018.01.17'],15세,2018,1
432,1335,8894,535,8.97,돌연변이 (Collective Invention),0,93,"['드라마', '코미디']",['2015.10.22'],12세,2015,10
433,0,0,14,9.86,동감 (Ditto),0,110,"['멜로/로맨스', '드라마', '판타지']",['2000.05.27'],12세,2000,5
434,0,0,354,6.69,동갑내기 과외하기 레슨 2 (My Tutor Friend Lesson II),0,125,['코미디'],['2007.04.19'],12세,2007,4
435,13,27,42,6.71,동자 대소동 (The Great Uproar a Little Boy),0,85,"['가족', '코미디']",[],전체,0,0
436,520,8002,240,9.28,동주 (DongJu; The Portrait of A Poet),0,110,['드라마'],['2016.02.17'],12세,2016,2
437,0,0,2695,9.41,동창생 (Commitment),1,113,"['액션', '드라마']",['2013.11.06'],15세,2013,11
438,33,35,13,3.38,동창회의 목적 2,0,92,['멜로/로맨스'],[],청소년,0,0
439,43,160,30,8.2,동창회의 목적: 더 비기닝,0,98,"['멜로/로맨스', '드라마']",['2017.02.02'],청소년,2017,2
440,42,106,21,5.9,동호회의 목적,0,117,['멜로/로맨스'],['2016.06.16'],청소년,2016,6
441,297,1013,227,9.22,"돼지 같은 여자 (My sister, the pig lady)",0,102,['멜로/로맨스'],['2015.09.10'],15세,2015,9
442,0,0,38,8.18,돼지의 왕 (The King of Pigs),0,96,"['애니메이션', '스릴러']",['2011.11.03'],청소년,2011,11
443,0,0,133,9.45,된장 (The Recipe),0,107,['미스터리'],['2010.10.21'],12세,2010,10
444,0,0,560,4.59,두 개의 문 (2 Doors),0,101,['다큐멘터리'],['2012.06.21'],15세,2012,6
445,50,362,32,9.44,"두 개의 연애 (Two Rooms, Two Nights)",0,110,"['멜로/로맨스', '코미디']",['2016.04.14'],15세,2016,4
446,257,2504,191,9.15,두 남자 (Derailed),0,91,"['범죄', '액션']",['2016.11.30'],청소년,2016,11
447,0,0,87,8.67,두 번의 결혼식과 한 번의 장례식 (Two Weddings And A Funeral),0,106,"['코미디', '멜로/로맨스']",['2012.06.21'],15세,2012,6
448,141,711,107,8.52,두 번째 스물 (Twenty Again),1,116,"['멜로/로맨스', '드라마']",['2016.11.03'],청소년,2016,11
449,0,0,141,9.04,두 사람이다 (Someone Behind You),1,84,"['공포', '스릴러']",['2007.08.22'],청소년,2007,8
450,0,0,337,8.16,두 얼굴의 여친 (Two Faces Of My Girlfriend),0,117,"['코미디', '멜로/로맨스']",['2007.09.13'],15세,2007,9
451,17,53,21,5.62,두 엄마,0,80,['멜로/로맨스'],['2017.08.14'],청소년,2017,8
452,0,0,69,8.14,"두 여자 (Love, in between)",0,105,"['멜로/로맨스', '드라마']",['2010.11.18'],청소년,2010,11
453,24,60,30,3.33,두근두근,0,80,[''],[],청소년,0,0
454,3747,15718,3147,5.61,두근두근 내 인생 (My Brilliant Life),1,117,['드라마'],['2014.09.03'],12세,2014,9
455,0,0,56,8.71,"두뇌유희 프로젝트, 퍼즐 (Puzzle)",0,91,"['범죄', '스릴러']",['2006.09.14'],청소년,2006,9
456,0,0,37,9.44,두레소리 (DURESORI : The Voice of East),0,108,['드라마'],['2012.05.10'],12세,2012,5
457,5,30,12,6.75,두물머리 (Dumulmeori),0,95,['다큐멘터리'],[],,0,0
458,20,49,15,6.73,두처제,0,70,['멜로/로맨스'],['2016.10.25'],청소년,2016,10
459,0,0,100,8.29,뒷담화:감독이 미쳤어요 (Behind the Camera),0,85,['드라마'],['2013.02.28'],12세,2013,2
460,25,486,16,9.38,드롭박스 (The Drop Box),0,79,"['다큐멘터리', '']",['2016.05.19'],전체,2016,5
461,0,0,25,8.92,들개들 (Stray Dogs),0,99,['스릴러'],['2014.01.23'],청소년,2014,1
462,69,186,21,7.1,들꽃 (Wild Flowers),0,114,['드라마'],['2015.11.05'],청소년,2015,11
463,0,7,114,7.45,등교시간 (Time for School),0,14,"['드라마', '멜로/로맨스']",[],,0,0
464,0,0,9194,9.24,디 워 (D-War),1,90,"['판타지', '액션']",['2007.08.01'],12세,2007,8
465,21,109,13,8.46,딜쿠샤 (Dilkusha),0,95,['다큐멘터리'],['2016.11.24'],12세,2016,11
466,453,789,208,5.75,따라지: 비열한 거리 (The Outsider: Mean Streets),0,85,"['느와르', '멜로/로맨스']",[],청소년,0,0
467,43,80,43,6.86,딸의 친구,0,82,['멜로/로맨스'],[],청소년,0,0
468,13,40,11,4.36,딸의 친구 2,0,94,['멜로/로맨스'],['2017.10.18'],청소년,2017,10
469,0,0,10,9.6,땅의 여자 (Earth's Women),0,95,['다큐멘터리'],['2010.09.09'],전체,2010,9
470,54,241,13,8.62,땐뽀걸즈 (Dance sports Girls),0,85,['다큐멘터리'],['2017.09.27'],12세,2017,9
471,7,103,25,9.08,떠돌이 까치,0,86,['애니메이션'],[],,0,0
472,72,135,13,9.62,떡,0,75,[''],['2014.08.06'],청소년,2014,8
473,0,0,4125,9.76,또 하나의 약속 (Another Family),1,120,['드라마'],['2014.02.06'],12세,2014,2
474,0,0,98,8.67,똥파리 (Breathless),0,130,['드라마'],['2009.04.16'],청소년,2009,4
475,114,1327,264,9.68,뚜르: 내 생애 최고의 49일 (Le Tour: My Last 49 Days),0,97,['다큐멘터리'],['2017.02.01'],12세,2017,2
476,0,0,261,7.58,뚝방전설 (Riverbank Legends),0,94,"['액션', '코미디', '범죄']",['2006.09.07'],청소년,2006,9
477,21,72,27,7.54,뜨개질 (The Knitting),0,12,"['드라마', '멜로/로맨스']",[],,0,0
478,0,0,1455,9.52,뜨거운 안녕 (Rockin'on Heaven's Door),1,99,['드라마'],['2013.05.30'],12세,2013,5
479,0,0,111,8.81,라듸오 데이즈 (Radio Days),0,111,['코미디'],['2008.01.31'],12세,2008,1
480,0,0,381,8.4,라디오 스타 (Radio Star),1,115,"['코미디', '드라마']",['2006.09.28'],12세,2006,9
481,0,0,11,8.18,라라 선샤인 (LaLa Sunshine),0,63,"['스릴러', '범죄', '드라마']",['2009.10.22'],15세,2009,10
482,0,0,3799,8.83,라스트 갓파더 (The Last Godfather),0,103,['코미디'],['2010.12.29'],12세,2010,12
483,0,0,28,10.0,라이브 인 3D 휘성 : 잇츠 리얼,0,80,['공연실황'],['2010.09.30'],전체,2010,9
484,277,389,193,6.79,라이브TV (Live TV),0,86,['공포'],[],청소년,0,0
485,39,1159,20,7.11,라즈 온 에어 (RAZ on Air),0,31,['다큐멘터리'],[],,0,0
486,0,0,17,8.76,량강도 아이들,0,95,"['가족', '코미디']",['2011.11.17'],전체,2011,11
487,0,0,15,9.13,러브 인 코리아 (Love In Korea),0,80,['다큐멘터리'],['2013.08.08'],12세,2013,8
488,0,0,15,9.4,러브 토크 (Love Talk),0,118,"['멜로/로맨스', '드라마']",['2005.11.11'],청소년,2005,11
489,0,0,173,9.45,러브픽션 (LOVE FICTION),1,121,"['멜로/로맨스', '코미디']",['2012.02.29'],15세,2012,2
490,0,0,54,9.5,러시안 소설 (The Russian Novel),0,140,"['드라마', '미스터리']",['2013.09.19'],15세,2013,9
491,52,390,55,9.35,레나 (Dear..Lena),0,109,"['멜로/로맨스', '드라마']",['2016.05.26'],12세,2016,5
492,30,773,54,9.67,레드 툼 (Red Tomb),0,91,['다큐멘터리'],['2015.07.09'],,2015,7
493,132,791,35,8.51,레디액션 청춘 (The Youth),0,125,['드라마'],['2014.11.13'],청소년,2014,11
494,0,0,23,9.3,레바논 감정 (Lebanon Emotion),0,106,"['스릴러', '드라마', '멜로/로맨스']",['2014.02.27'],청소년,2014,2
495,130,259,25,7.96,레쓰링,0,85,['코미디'],['2014.09.11'],청소년,2014,9
496,0,0,20,8.0,렛 미 아웃 (Let Me Out),0,97,"['드라마', '코미디']",['2013.08.15'],12세,2013,8
497,31,298,26,8.77,로마서 8:37 (Romans 8:37),0,134,"['드라마', '가족', '범죄', '미스터리']",['2017.11.16'],15세,2017,11
498,670,1583,393,7.99,로마의 휴일,1,108,"['코미디', '드라마']",['2017.08.30'],15세,2017,8
499,0,0,14,9.64,로망은 없다 (What Is Not Romance),0,70,['애니메이션'],['2009.12.10'],12세,2009,12
500,0,0,16,8.19,로맨스 조 (ROMANCE JOE),0,115,"['드라마', '멜로/로맨스']",['2012.03.08'],15세,2012,3
501,0,18,13,10.0,로맨스를 원해 (Dreaming of Romance),0,19,[''],[],,0,0
502,0,0,80,9.44,로맨틱 아일랜드,0,107,"['멜로/로맨스', '코미디']",['2008.12.24'],15세,2008,12
503,0,0,71,9.72,로맨틱 헤븐 (Romantic Heaven),0,117,['드라마'],['2011.03.24'],12세,2011,3
504,7,69,14,4.29,로보트 태권V - 슈퍼-태권브이 (슈퍼 태권V[브이]: Super Taekwon V),0,0,['애니메이션'],[],,0,0
505,325,2606,410,6.79,로보트 태권브이,0,0,"['SF', '액션']",[],,0,0
506,777,5859,824,9.18,"로봇, 소리 (SORI: Voice from the Heart)",1,117,['드라마'],['2016.01.27'],12세,2016,1
507,0,0,342,8.94,롤러코스터 (Fasten Your Seatbelt),0,94,['코미디'],['2013.10.17'],15세,2013,10
508,2034,5696,507,7.0,루시드 드림 (Lucid Dream),0,101,"['SF', '스릴러']",['2017.02.22'],15세,2017,2
509,12,72,22,9.59,리코더 시험 (The Recorder Exam),0,28,"['드라마', '가족']",[],전체,0,0
510,0,0,15,8.78,리틀 제이콥,0,40,['애니메이션'],['2012.11.08'],,2012,11
511,0,0,118,5.71,마강호텔 (Magang Hotel),0,98,"['코미디', '액션']",['2007.02.22'],15세,2007,2
512,1585,7380,283,8.02,마담 뺑덕 (Scarlet Innocence),0,111,['멜로/로맨스'],['2014.10.02'],청소년,2014,10
513,0,0,716,9.15,"마당을 나온 암탉 (Leafie, A Hen into the Wild)",1,93,"['애니메이션', '가족', '모험', '드라마']",['2011.07.28'],전체,2011,7
514,16,429,44,9.61,마리안느와 마가렛,0,78,['다큐멘터리'],['2017.04.20'],전체,2017,4
515,0,0,144,7.58,마린 보이 (Marine Boy),0,118,"['범죄', '스릴러', '액션']",['2009.02.05'],15세,2009,2
516,0,0,108,7.39,마법천자문 - 대마왕의 부활을 막아라,0,85,['애니메이션'],['2010.08.19'],전체,2010,8
517,2,14,201,8.96,"마스크 속, 은밀한 자부심 (The Secret Within Her Mask)",0,18,"['드라마', '코미디']",[],,0,0
518,2331,18671,1352,8.59,마스터 (Master),0,143,"['액션', '범죄']",['2016.12.21'],15세,2016,12
519,0,0,43,7.81,마을금고 연쇄습격사건 (Bank Attack),0,111,['코미디'],['2007.11.14'],15세,2007,11
520,0,0,462,9.62,마음이 2 (Hearty Paws 2),1,92,"['가족', '코미디', '모험']",['2010.07.21'],전체,2010,7
521,0,0,503,9.16,마음이... (Heart Is),1,97,"['가족', '드라마']",['2006.10.26'],전체,2006,10
522,0,0,47,8.47,마이 라띠마 (Mai Ratima),0,126,"['드라마', '멜로/로맨스']",['2013.06.06'],청소년,2013,6
523,0,0,614,9.1,마이 리틀 히어로 (My little hero),1,135,['드라마'],['2013.01.09'],전체,2013,1
524,0,0,215,9.07,마이 블랙 미니드레스 (Little Black Dress),0,108,['드라마'],['2011.03.24'],15세,2011,3
525,0,0,84,9.52,"마이 캡틴 김대출 (My Captain, Mr. Underground)",0,104,"['드라마', '코미디']",['2006.04.20'],12세,2006,4
526,387,343,123,3.8,마이 페어 웨딩 (My Fair Wedding),0,94,['다큐멘터리'],['2015.06.04'],12세,2015,6
527,0,0,17,8.71,마이 플레이스 (My Place),0,77,['다큐멘터리'],['2014.01.30'],전체,2014,1
528,284,260,71,4.72,마이너클럽,0,95,"['드라마', '액션']",[],청소년,0,0
529,25,123,52,8.71,마이보이 (My Boy),0,99,"['가족', '드라마']",['2014.04.10'],12세,2014,4
530,477,3336,221,5.83,마지막 위안부 (The Last Comfort Women),1,91,['드라마'],[],15세,0,0
531,0,0,15,3.6,마지막 중독,0,50,"['멜로/로맨스', '드라마']",['2013.04.17'],,2013,4
532,89,919,59,9.07,마차 타고 고래고래 (Blue Busking),0,97,['드라마'],['2017.05.18'],15세,2017,5
533,0,0,106,7.9,마파도 (Mapado),1,105,"['코미디', '모험']",['2005.03.10'],15세,2005,3
534,0,0,165,6.78,마파도 2 (Mapado 2),0,129,"['코미디', '모험']",['2007.01.18'],12세,2007,1
535,135,3469,786,9.75,막걸스 (Makgeolli Girls),0,103,['코미디'],['2015.05.21'],15세,2015,5
536,0,0,145,7.79,만남의 광장 (Underground Rendez-vous),1,107,['코미디'],['2007.08.15'],12세,2007,8
537,18,397,87,9.54,만담강호,0,73,"['코미디', '액션']",['2017.03.22'],청소년,2017,3
538,0,0,181,9.29,만신 (MANSHIN: Ten Thousand Spirits),0,104,"['다큐멘터리', '드라마']",['2014.03.06'],15세,2014,3
539,0,0,26,8.54,만찬 (The Dinner),0,125,"['가족', '멜로/로맨스', '드라마']",['2014.01.23'],15세,2014,1
540,0,0,315,8.36,만추 (?秋),1,115,"['드라마', '']",['2011.02.17'],15세,2011,2
541,0,0,188,9.29,말아톤 (Malaton),1,115,['드라마'],['2005.01.27'],전체,2005,1
542,0,0,14,7.92,말죽거리 잔혹사 (Spirit Of Jeet Keun Do),0,116,"['드라마', '액션', '멜로/로맨스']",['2004.01.16'],15세,2004,1
543,0,0,20,7.79,말하는 건축 시티:홀 (City: hall),0,106,['다큐멘터리'],['2013.10.24'],전체,2013,10
544,0,0,16,9.0,말하는 건축가 (Talking Architect),0,95,['다큐멘터리'],['2012.03.08'],전체,2012,3
545,201,388,63,6.86,말하지 못한 비밀 (Black Idols),0,102,['드라마'],['2015.10.22'],청소년,2015,10
546,38,63,20,3.2,맛 2016: 삼시색기,0,80,['멜로/로맨스'],[],청소년,0,0
547,10,13,10,2.8,맛있는 영화,0,67,['멜로/로맨스'],[],청소년,0,0
548,26,42,14,3.71,맛있는 정사 : 오피스 와이프 (My Office Wife),0,64,['멜로/로맨스'],[],청소년,0,0
549,17,45,12,3.25,망각과 기억2 : 돌아 봄 Part 1. (Forgetting and Remembering 2 : reflection),0,103,['다큐멘터리'],['2017.04.16'],,2017,4
550,33,183,21,9.14,망원동 인공위성 (The Basement Satellite),0,108,['다큐멘터리'],['2015.02.05'],12세,2015,2
551,22,931,74,9.81,맞춤희곡 (The Customized Play),0,90,"['애니메이션', '스릴러', '드라마', '판타지']",[],,0,0
552,29,150,19,8.0,매너선생님,0,78,['코미디'],['2016.09.22'],청소년,2016,9
553,23,71,28,6.61,매춘 2016,0,79,['멜로/로맨스'],[],청소년,0,0
554,0,0,50,5.72,맨데이트: 신이 주신 임무 (Mandate),0,87,"['액션', '스릴러', '판타지']",['2008.10.30'],청소년,2008,10
555,0,0,383,8.66,맨발의 기봉이 (Barefoot Gi Bong),1,100,"['코미디', '드라마']",['2006.04.26'],전체,2006,4
556,0,0,200,9.54,맨발의 꿈 (A Barefoot Dream),0,121,['드라마'],['2010.06.24'],전체,2010,6
557,1139,5589,725,7.28,맨홀 (Manhole),0,101,"['공포', '스릴러']",['2014.10.08'],청소년,2014,10
558,15,233,63,9.51,머털 도사 (Taoist Mutul),0,0,"['애니메이션', '액션', '코미디']",[],,0,0
559,26,267,24,6.17,먹는 존재,0,10,"['코미디', '드라마']",['2015.11.12'],,2015,11
560,0,0,17,9.76,멋진 인생 (The Story Of My Life),0,100,"['뮤지컬', '드라마']",['2011.06.09'],12세,2011,6
561,25,208,25,9.08,메리 크리스마스 미스터 모 (Merry Christmas Mr. Mo),0,101,['블랙코미디'],['2017.12.14'],12세,2017,12
562,60,1538,27,9.22,메밀꽃 필 무렵 (When Bucketwheet Flowers Blossom),0,25,['애니메이션'],[],전체,0,0
563,52,1618,103,9.37,"메밀꽃, 운수 좋은 날, 그리고 봄봄 (The road called life)",0,90,['애니메이션'],['2014.08.21'],전체,2014,8
564,549,3010,406,5.58,메소드 (METHOD),1,82,"['드라마', '멜로/로맨스']",['2017.11.02'],15세,2017,11
565,60,637,58,9.4,메이드 인 차이나 (Made in China),0,100,[''],['2015.06.25'],청소년,2015,6
566,448,1523,405,8.66,메이크 유어 무브 (Make Your Move),0,110,"['멜로/로맨스', '드라마']",['2014.04.17'],12세,2014,4
567,80,551,39,6.97,메이킹 패밀리 (幸福家庭打造??),0,100,[''],[],12세,0,0
568,16,54,15,7.31,멜로 (Melo),0,119,"['드라마', '멜로/로맨스', '스릴러']",['2014.04.24'],청소년,2014,4
569,215,673,58,7.62,멜리스 (Malice),0,95,"['공포', '스릴러']",['2016.02.11'],15세,2016,2
570,195,382,94,6.37,명량: 회오리 바다를 향하여,0,95,['다큐멘터리'],['2015.05.07'],12세,2015,5
571,15,118,10,8.0,명령불복종 교사 (The Disobeying Teachers),0,96,['다큐멘터리'],['2015.05.14'],,2015,5
572,0,0,260,8.84,명왕성 (Pluto),1,107,"['드라마', '스릴러']",['2013.07.11'],15세,2013,7
573,0,0,260,9.03,모노폴리 (Monopoly),0,91,"['범죄', '스릴러']",['2006.06.01'],15세,2006,6
574,0,0,121,9.6,모던 보이 (Modern Boy),1,121,"['드라마', '멜로/로맨스', '미스터리', '액션']",['2008.10.02'],12세,2008,10
575,0,0,32,8.09,"모두들, 괜찮아요? (Family Matters)",0,104,"['가족', '코미디']",['2006.03.24'],15세,2006,3
576,0,0,11,7.45,모래가 흐르는 강 (Following Sand River),0,75,['다큐멘터리'],['2013.03.28'],,2013,3
577,305,2635,737,9.83,모범생 (Schoolgirl),1,100,['스릴러'],['2017.11.17'],청소년,2017,11
578,46,561,46,9.41,목격자의 밤 (The Night of the Witness),0,28,"['드라마', '스릴러']",[],12세,0,0
579,115,1222,207,9.38,목숨 (The Hospice),0,95,['다큐멘터리'],['2014.12.04'],12세,2014,12
580,745,4556,191,8.54,목숨 건 연애 (Life Risking Romance),0,103,"['멜로/로맨스', '코미디', '스릴러']",['2016.12.14'],15세,2016,12
581,0,0,159,8.22,못말리는 결혼 (Unstoppable Marriage),0,115,['코미디'],['2007.05.10'],15세,2007,5
582,19,98,22,9.77,몽골리안 프린세스 (Mongolian Princess),0,80,"['멜로/로맨스', '드라마']",['2015.03.19'],청소년,2015,3
583,0,0,125,3.24,몽정기 2 (Wet Dreams 2),0,101,"['드라마', '코미디']",['2005.01.14'],15세,2005,1
584,0,0,27,8.0,무게 (The weight),0,108,['드라마'],['2013.11.07'],청소년,2013,11
585,0,0,58,8.07,무도리 (無道里: Moodori),0,100,['코미디'],['2006.09.21'],15세,2006,9
586,553,4059,201,9.53,무뢰한 (The Shameless),0,118,"['멜로/로맨스', '드라마']",['2015.05.27'],청소년,2015,5
587,0,0,104,6.53,무림여대생 (My Mighty Princess),0,115,"['멜로/로맨스', '액션', '코미디']",['2008.06.26'],15세,2008,6
588,6,138,29,8.48,무림일검의 사생활 (A Coffee Vending Machine and its Sword),0,30,"['애니메이션', '멜로/로맨스', '액션', '판타지']",[],,0,0
589,23,196,66,9.0,무명인 (Genome Hazard),0,120,"['미스터리', '스릴러', '액션']",['2014.05.29'],15세,2014,5
590,0,0,38,9.62,무산일기 (The Journals Of Musan),0,127,['드라마'],['2011.04.14'],15세,2011,4
591,0,0,744,8.76,무서운 이야기 2 (Horror Stories II),0,95,['공포'],['2013.06.05'],15세,2013,6
592,696,1951,168,7.44,무서운 이야기 3 : 화성에서 온 소녀 (Horror Stories III),0,94,['공포'],['2016.06.01'],15세,2016,6
593,146,180,100,5.45,무서운 집 (Scary house),0,98,['공포'],"['2015.08.08', '2015.07.30']",12세,2015,8
594,631,1271,507,7.15,무수단 (MUSUDAN),0,87,"['미스터리', '스릴러']",['2016.03.03'],15세,2016,3
595,6,130,10,8.1,무스탕 가는 길 (The Way to Mustang),0,128,['다큐멘터리'],[],,0,0
596,0,0,148,8.23,무영검 (無影劍),0,104,['액션'],['2005.11.18'],12세,2005,11
597,0,0,354,7.55,무적자 (A Better Tomorrow),1,124,"['액션', '드라마']",['2010.09.16'],15세,2010,9
598,432,3819,606,7.17,"무현, 두 도시 이야기 (Moo-hyun, Tale of Two Cities)",0,124,['다큐멘터리'],"['2017.08.30', '2016.10.26']",15세,2017,8
599,0,0,49,8.88,물 없는 바다 (Sea without Water),0,88,"['멜로/로맨스', '드라마']",['2011.12.08'],15세,2011,12
600,38,556,179,9.58,물숨 (Breathing Underwater),0,81,"['다큐멘터리', '드라마']",['2016.09.29'],전체,2016,9
601,0,0,115,7.57,므이,0,93,['공포'],['2007.07.25'],15세,2007,7
602,0,0,3143,7.62,미나문방구 (Happiness for Sale),0,106,"['드라마', '코미디']",['2013.05.16'],전체,2013,5
603,0,0,883,8.16,미녀는 괴로워 (200 Pounds Beauty),1,120,"['코미디', '멜로/로맨스', '드라마']",['2006.12.14'],12세,2006,12
604,0,0,11,4.27,미녀전쟁,0,81,['코미디'],['2013.12.19'],청소년,2013,12
605,16,139,26,8.58,미라클 여행기 (Mira Story),0,84,['다큐멘터리'],['2015.01.15'],전체,2015,1
606,138,193,32,8.31,미션: 톱스타를 훔쳐라 (Mission: Kidnap the Top Star),0,85,"['코미디', '액션']",['2015.09.03'],청소년,2015,9
607,254,173,67,3.1,미션스쿨 (Mission School),0,62,['드라마'],['2015.10.15'],12세,2015,10
608,1,15,59,9.71,미스 마플과의 하룻밤 (My Night With Miss Marple),0,15,[''],[],,0,0
609,142,354,78,5.21,미스 푸줏간,0,94,"['코미디', '스릴러']",[],청소년,0,0
610,1717,705,106,7.25,미스 프레지던트,0,85,['다큐멘터리'],['2017.10.26'],,2017,10
611,0,0,18,9.56,"미스진은 예쁘다 (Beautiful, Miss Jin)",0,98,['드라마'],['2013.03.14'],12세,2013,3
612,0,0,130,8.55,미스체인지 (Mischange),0,100,['코미디'],['2013.09.05'],청소년,2013,9
613,0,0,5618,8.52,미스터 고 (Mr. Go),0,132,"['드라마', '코미디', '액션']",['2013.07.17'],12세,2013,7
614,0,0,108,8.27,미스터 소크라테스 (Mr. Socrates),0,109,"['범죄', '액션', '코미디']",['2005.11.10'],청소년,2005,11
615,0,0,48,7.44,미스터 좀비,0,94,"['공포', '코미디']",['2010.08.26'],15세,2010,8
616,0,0,93,8.71,미스터 주부퀴즈왕 (Quiz King),0,107,['코미디'],['2005.09.30'],12세,2005,9
617,729,4930,607,8.57,미쓰 와이프 (Wonderful Nightmare),0,125,['코미디'],['2015.08.13'],15세,2015,8
618,0,0,70,8.22,미쓰 홍당무 (Crush And Blush),0,100,"['코미디', '드라마']",['2008.10.16'],청소년,2008,10
619,0,0,141,8.0,미쓰GO (Miss Conspirator),0,115,"['코미디', '액션']",['2012.06.21'],15세,2012,6
620,560,4785,499,9.29,미씽: 사라진 여자 (MISSING),0,100,"['미스터리', '가족', '서스펜스']",['2016.11.30'],15세,2016,11
621,0,0,69,9.62,미안하다 독도야,0,98,['다큐멘터리'],"['2009.05.21', '2008.12.31']",전체,2009,5
622,30,87,28,9.46,미안하다.. (Sorry..),0,6,"['애니메이션', '드라마']",[],12세,0,0
623,267,1682,85,8.47,미안해 사랑해 고마워 (Summer Snow),0,115,['드라마'],['2015.10.28'],15세,2015,10
624,0,0,44,9.07,"미안해, 고마워 (Sorry, Thank you)",0,114,['드라마'],['2011.05.26'],12세,2011,5
625,439,3455,205,8.41,미옥 (A Special Lady),0,91,"['느와르', '범죄', '액션']",['2017.11.09'],청소년,2017,11
626,56,137,34,6.71,미용실 : 특별한 서비스,0,81,[''],[],청소년,0,0
627,0,0,31,9.14,미운 오리 새끼 (The Ugly Duckling),0,95,['드라마'],['2012.08.30'],15세,2012,8
628,0,0,134,7.23,미인도 (美人圖),0,108,"['멜로/로맨스', '드라마']",['2008.11.13'],청소년,2008,11
629,48,139,14,8.07,미조 (MIZO),0,72,['드라마'],['2014.10.02'],청소년,2014,10
630,0,1,12,8.67,미친 시간 (Mad Minutes),0,80,"['전쟁', '다큐멘터리']",[],,0,0
631,0,0,564,8.52,미확인 동영상 : 절대클릭금지 (Don’t Click),0,93,"['공포', '스릴러']",['2012.05.30'],15세,2012,5
632,3,17,16,8.88,민호가 착하니 천하무적 (Min-ho Win!),0,40,"['액션', '스릴러']",[],,0,0
633,9,63,15,9.33,믿거나 말거나 찬드라의 경우 (Never Ending Peace And Love),0,28,[''],[],,0,0
634,0,0,227,8.47,밀양 (Secret Sunshine),1,141,['드라마'],['2007.05.23'],15세,2007,5
635,19,202,19,7.42,밀양 아리랑 (Miryang Arirang - Legend of Miryang 2),0,102,['다큐멘터리'],['2015.07.16'],15세,2015,7
636,3,31,11,7.27,밀양전 (Legend of Miryang1),0,72,['다큐멘터리'],[],,0,0
637,1463,13996,443,8.75,밀정 (The Age of Shadows),1,140,['액션'],['2016.09.07'],15세,2016,9
638,0,0,27,8.63,밍크코트 (Jesus Hospital),0,91,['드라마'],['2012.01.12'],15세,2012,1
639,0,0,22,9.14,"바다 쪽으로, 한 뼘 더 (One Step More To The Sea)",0,90,['드라마'],['2009.05.21'],전체,2009,5
640,4,25,39,8.36,바라만 본다 (Always Behind You),0,43,"['드라마', '멜로/로맨스']",[],12세,0,0
641,0,0,140,7.22,바람 피기 좋은 날 (A Good Day To Have An Affair),0,103,"['멜로/로맨스', '코미디']",['2007.02.08'],청소년,2007,2
642,0,0,128,9.54,바람과 함께 사라지다 (The Grand Heist),1,121,"['코미디', '액션']",['2012.08.08'],12세,2012,8
643,64,162,18,4.83,바람난 여자들,0,85,['멜로/로맨스'],['2016.07.21'],청소년,2016,7
644,10,140,18,9.89,바람의 춤꾼 (Dances with the Wind),0,88,['다큐멘터리'],['2017.06.06'],12세,2017,6
645,0,0,11,9.0,바람의 파이터 (Fighter In The Wind),0,120,"['액션', '드라마']",['2004.08.12'],12세,2004,8
646,5,51,13,9.54,바람커피로드,0,70,['다큐멘터리'],[],,0,0
647,0,0,197,9.24,바르게 살자 (Going By The Book),1,102,['코미디'],['2007.10.18'],15세,2007,10
