,Unnamed: 0,Unnamed: 0.1,글쎄요,보고싶어요,참여인원,평점,title,y,런타임,장르,개봉일,등급,개봉년도,개봉월
855,855,855,24,189,57,9.7,세계일주,0,91,"['모험', '코미디', '드라마']",['2015.03.26'],12세,2015,3
856,856,856,0,0,10,7.8,세번째 시선 (If You Were Me 3),0,106,[''],['2006.11.23'],,2006,11
857,857,857,124,388,58,8.31,세상끝의 사랑 (Love At The End of The World),0,100,['멜로/로맨스'],['2015.11.12'],청소년,2015,11
858,858,858,0,0,156,9.83,세상에서 가장 아름다운 이별 (The Most Beautiful Goodbye),1,125,"['드라마', '가족']",['2011.04.20'],15세,2011,4
859,859,859,12,257,17,9.29,세상의 끝에서 커피 한 잔,0,119,"['드라마', '', '']",['2015.11.05'],12세,2015,11
860,860,860,178,370,41,8.66,세이프 (Safe),0,13,"['스릴러', '드라마']",[],,0,0
861,861,861,46,114,13,7.38,섹스가 다이어트에 미치는 영향,0,90,"['멜로/로맨스', '코미디']",['2016.12.12'],청소년,2016,12
862,862,862,46,296,10,7.7,섹스킹 (Sexking),0,33,[''],[],,0,0
863,863,863,8,124,38,8.92,셔틀콕 (Shuttlecock),0,100,"['미스터리', '멜로/로맨스']",['2014.04.24'],15세,2014,4
864,864,864,12,145,32,9.41,션샤인 러브 (Sunshine Love),0,84,"['판타지', '멜로/로맨스', '코미디']",['2015.09.17'],12세,2015,9
865,865,865,4,21,25,9.8,소굴 (The Hideout),0,29,"['드라마', '스릴러']",[],,0,0
866,866,866,32,538,107,9.28,소나기 (The Shower),0,48,['애니메이션'],['2017.08.31'],전체,2017,8
867,867,867,0,0,102,7.25,소녀X소녀 (Girl by Girl),0,80,"['드라마', '코미디']",['2007.01.25'],12세,2007,1
868,868,868,364,3750,182,7.47,소녀괴담 (Mourning Grave),0,90,"['공포', '스릴러']",['2014.07.02'],15세,2014,7
869,869,869,8,148,10,9.8,소녀와 여자 (Where am I? Beyond Girl and Woman),0,95,['다큐멘터리'],['2016.06.16'],15세,2016,6
870,870,870,161,756,19,8.89,소녀의 세계 (Fantasy of the Girls),0,109,['멜로/로맨스'],[],,0,0
871,871,871,38,1090,1013,9.95,소녀이야기 (Herstory),0,11,['애니메이션'],[],15세,0,0
