,Unnamed: 0,Unnamed: 0.1,글쎄요,보고싶어요,참여인원,평점,title,y,런타임,장르,개봉일,등급,개봉년도,개봉월
399,399,399,228,1296,130,8.65,더 테너 리리코 스핀토 (The Tenor - Lirico Spinto),0,121,['드라마'],"['2015.09.07', '2014.12.31']",12세,2015,9
400,400,400,0,0,2054,7.63,"더 테러 라이브 (The Terror, LIVE)",1,97,"['스릴러', '드라마']",['2013.07.31'],15세,2013,7
401,401,401,202,3207,130,9.06,더 테이블 (The Table),0,70,['드라마'],['2017.08.24'],12세,2017,8
402,402,402,0,0,536,9.02,더 파이브 (The Fives),1,123,"['스릴러', '드라마']",['2013.11.14'],청소년,2013,11
403,403,403,480,5205,524,9.25,더 폰 (The Phone),1,114,"['액션', '스릴러']",['2015.10.22'],15세,2015,10
404,404,404,1145,20349,3431,9.62,더 플랜 (The Plan),0,102,['다큐멘터리'],['2017.04.20'],15세,2017,4
405,405,405,604,1647,248,8.47,덕수리 5형제 (A Dynamite Family),0,102,"['코미디', '스릴러']",['2014.12.04'],15세,2014,12
406,406,406,2180,20348,1858,8.23,덕혜옹주 (The Last Princess),1,127,"['서사', '드라마']",['2016.08.03'],12세,2016,8
407,407,407,25,536,28,8.04,던전앤파이터 - 열정 (Dungeon & Fighter - Passion),0,3,['애니메이션'],[],,0,0
408,408,408,131,282,23,3.17,덫 (Trap),0,81,"['멜로/로맨스', '스릴러']",['2017.07.13'],청소년,2017,7
409,409,409,38,124,14,8.29,덫: 치명적인 유혹 (Trap),0,107,"['스릴러', '멜로/로맨스']",['2015.09.17'],청소년,2015,9
410,410,410,0,0,19,7.41,데드 엔드 (Dead And),0,96,"['미스터리', '스릴러']",['2013.11.14'],청소년,2013,11
411,411,411,25,467,103,9.53,델타 보이즈 (Delta Boys),0,120,"['드라마', '코미디']",['2017.06.08'],15세,2017,6
412,412,412,0,0,644,9.24,도가니 (SILENCED),1,125,['드라마'],['2011.09.22'],청소년,2011,9
413,413,413,4,8,20,7.05,도다리 - 리덕스 (Busan Flounder - Redux),0,104,['드라마'],['2012.11.29'],15세,2012,11
414,414,414,85,759,13,9.31,도도하라 극장판,0,123,['드라마'],[],15세,0,0
415,415,415,0,0,703,8.68,도둑들 (The Thieves),1,135,"['범죄', '액션', '드라마']",['2012.07.25'],15세,2012,7
416,416,416,0,0,824,8.67,도레미파솔라시도 (Doremipasolrasido),0,105,['드라마'],['2008.04.03'],12세,2008,4
417,417,417,6309,12459,976,7.81,도리화가 (桃李花歌),0,109,['드라마'],['2015.11.25'],12세,2015,11
418,418,418,0,0,30,3.63,도마 안중근 (Doma Ahn Joong Keun),0,83,['드라마'],['2004.09.10'],전체,2004,9
419,419,419,10,157,41,9.34,도시에서 그녀가 피할 수 없는 것들 (The Things She Can't Avoid In The City),0,13,"['애니메이션', '판타지', '멜로/로맨스']",[],15세,0,0
420,420,420,0,0,115,9.49,도쿄 택시 (東京タクシ?),0,75,"['코미디', '드라마', '멜로/로맨스']",['2010.05.20'],전체,2010,5
421,421,421,192,1420,92,8.93,도희야 (A Girl at My Door),0,120,['드라마'],['2014.05.22'],청소년,2014,5
422,422,422,33,85,12,8.36,독개구리 (POISON FROG),0,30,['전쟁'],[],,0,0
423,423,423,5,151,13,9.31,독고탁 - 태양을 향해 던져라,0,0,"['애니메이션', '가족', '드라마']",[],,0,0
424,424,424,2,69,11,8.82,독고탁 2 - 내 이름은 독고탁,0,70,"['애니메이션', '가족', '드라마', '코미디']",[],,0,0
425,425,425,0,0,10,8.8,독도야 반갑다,0,89,"['드라마', '다큐멘터리']",['2011.09.29'],12세,2011,9
426,426,426,66,1692,47,9.17,돈,0,0,['범죄'],[],,0,0
427,427,427,0,0,1394,7.91,돈 크라이 마미 (Don't Cry Mommy),0,91,"['스릴러', '드라마']",['2012.11.22'],15세,2012,11
428,428,428,0,0,12,6.83,돈 텔 파파 (Don't Tell Papa),0,102,"['코미디', '드라마']",['2004.09.03'],15세,2004,9
429,429,429,0,0,182,7.2,돈의 맛 (The Taste Of Money),0,115,['드라마'],['2012.05.17'],청소년,2012,5
430,430,430,0,0,25,8.56,돌려차기 (Taekwon Boys),0,109,"['코미디', '액션']",['2004.07.23'],12세,2004,7
431,431,431,48,841,73,9.55,돌아온다 (The Return),0,96,['드라마'],['2017.12.07'],12세,2017,12
432,432,432,309,1224,231,7.14,돌아와요 부산항애(愛) (BROTHERS IN HEAVEN),0,114,"['범죄', '액션', '드라마']",['2018.01.17'],15세,2018,1
433,433,433,1335,8894,535,8.97,돌연변이 (Collective Invention),0,93,"['드라마', '코미디']",['2015.10.22'],12세,2015,10
434,434,434,0,0,14,9.86,동감 (Ditto),0,110,"['멜로/로맨스', '드라마', '판타지']",['2000.05.27'],12세,2000,5
435,435,435,0,0,354,6.69,동갑내기 과외하기 레슨 2 (My Tutor Friend Lesson II),0,125,['코미디'],['2007.04.19'],12세,2007,4
436,436,436,13,27,42,6.71,동자 대소동 (The Great Uproar a Little Boy),0,85,"['가족', '코미디']",[],전체,0,0
437,437,437,520,8002,240,9.28,동주 (DongJu; The Portrait of A Poet),0,110,['드라마'],['2016.02.17'],12세,2016,2
438,438,438,0,0,2695,9.41,동창생 (Commitment),1,113,"['액션', '드라마']",['2013.11.06'],15세,2013,11
439,439,439,33,35,13,3.38,동창회의 목적 2,0,92,['멜로/로맨스'],[],청소년,0,0
440,440,440,43,160,30,8.2,동창회의 목적: 더 비기닝,0,98,"['멜로/로맨스', '드라마']",['2017.02.02'],청소년,2017,2
441,441,441,42,106,21,5.9,동호회의 목적,0,117,['멜로/로맨스'],['2016.06.16'],청소년,2016,6
442,442,442,297,1013,227,9.22,"돼지 같은 여자 (My sister, the pig lady)",0,102,['멜로/로맨스'],['2015.09.10'],15세,2015,9
443,443,443,0,0,38,8.18,돼지의 왕 (The King of Pigs),0,96,"['애니메이션', '스릴러']",['2011.11.03'],청소년,2011,11
444,444,444,0,0,133,9.45,된장 (The Recipe),0,107,['미스터리'],['2010.10.21'],12세,2010,10
445,445,445,0,0,560,4.59,두 개의 문 (2 Doors),0,101,['다큐멘터리'],['2012.06.21'],15세,2012,6
446,446,446,50,362,32,9.44,"두 개의 연애 (Two Rooms, Two Nights)",0,110,"['멜로/로맨스', '코미디']",['2016.04.14'],15세,2016,4
447,447,447,257,2504,191,9.15,두 남자 (Derailed),0,91,"['범죄', '액션']",['2016.11.30'],청소년,2016,11
448,448,448,0,0,87,8.67,두 번의 결혼식과 한 번의 장례식 (Two Weddings And A Funeral),0,106,"['코미디', '멜로/로맨스']",['2012.06.21'],15세,2012,6
449,449,449,141,711,107,8.52,두 번째 스물 (Twenty Again),1,116,"['멜로/로맨스', '드라마']",['2016.11.03'],청소년,2016,11
450,450,450,0,0,141,9.04,두 사람이다 (Someone Behind You),1,84,"['공포', '스릴러']",['2007.08.22'],청소년,2007,8
451,451,451,0,0,337,8.16,두 얼굴의 여친 (Two Faces Of My Girlfriend),0,117,"['코미디', '멜로/로맨스']",['2007.09.13'],15세,2007,9
452,452,452,17,53,21,5.62,두 엄마,0,80,['멜로/로맨스'],['2017.08.14'],청소년,2017,8
453,453,453,0,0,69,8.14,"두 여자 (Love, in between)",0,105,"['멜로/로맨스', '드라마']",['2010.11.18'],청소년,2010,11
454,454,454,24,60,30,3.33,두근두근,0,80,[''],[],청소년,0,0
455,455,455,3747,15718,3147,5.61,두근두근 내 인생 (My Brilliant Life),1,117,['드라마'],['2014.09.03'],12세,2014,9
456,456,456,0,0,56,8.71,"두뇌유희 프로젝트, 퍼즐 (Puzzle)",0,91,"['범죄', '스릴러']",['2006.09.14'],청소년,2006,9
457,457,457,0,0,37,9.44,두레소리 (DURESORI : The Voice of East),0,108,['드라마'],['2012.05.10'],12세,2012,5
458,458,458,5,30,12,6.75,두물머리 (Dumulmeori),0,95,['다큐멘터리'],[],,0,0
459,459,459,20,49,15,6.73,두처제,0,70,['멜로/로맨스'],['2016.10.25'],청소년,2016,10
460,460,460,0,0,100,8.29,뒷담화:감독이 미쳤어요 (Behind the Camera),0,85,['드라마'],['2013.02.28'],12세,2013,2
461,461,461,25,486,16,9.38,드롭박스 (The Drop Box),0,79,"['다큐멘터리', '']",['2016.05.19'],전체,2016,5
462,462,462,0,0,25,8.92,들개들 (Stray Dogs),0,99,['스릴러'],['2014.01.23'],청소년,2014,1
463,463,463,69,186,21,7.1,들꽃 (Wild Flowers),0,114,['드라마'],['2015.11.05'],청소년,2015,11
464,464,464,0,7,114,7.45,등교시간 (Time for School),0,14,"['드라마', '멜로/로맨스']",[],,0,0
465,465,465,0,0,9194,9.24,디 워 (D-War),1,90,"['판타지', '액션']",['2007.08.01'],12세,2007,8
466,466,466,21,109,13,8.46,딜쿠샤 (Dilkusha),0,95,['다큐멘터리'],['2016.11.24'],12세,2016,11
467,467,467,453,789,208,5.75,따라지: 비열한 거리 (The Outsider: Mean Streets),0,85,"['느와르', '멜로/로맨스']",[],청소년,0,0
468,468,468,43,80,43,6.86,딸의 친구,0,82,['멜로/로맨스'],[],청소년,0,0
469,469,469,13,40,11,4.36,딸의 친구 2,0,94,['멜로/로맨스'],['2017.10.18'],청소년,2017,10
470,470,470,0,0,10,9.6,땅의 여자 (Earth's Women),0,95,['다큐멘터리'],['2010.09.09'],전체,2010,9
471,471,471,54,241,13,8.62,땐뽀걸즈 (Dance sports Girls),0,85,['다큐멘터리'],['2017.09.27'],12세,2017,9
472,472,472,7,103,25,9.08,떠돌이 까치,0,86,['애니메이션'],[],,0,0
473,473,473,72,135,13,9.62,떡,0,75,[''],['2014.08.06'],청소년,2014,8
474,474,474,0,0,4125,9.76,또 하나의 약속 (Another Family),1,120,['드라마'],['2014.02.06'],12세,2014,2
475,475,475,0,0,98,8.67,똥파리 (Breathless),0,130,['드라마'],['2009.04.16'],청소년,2009,4
476,476,476,114,1327,264,9.68,뚜르: 내 생애 최고의 49일 (Le Tour: My Last 49 Days),0,97,['다큐멘터리'],['2017.02.01'],12세,2017,2
477,477,477,0,0,261,7.58,뚝방전설 (Riverbank Legends),0,94,"['액션', '코미디', '범죄']",['2006.09.07'],청소년,2006,9
478,478,478,21,72,27,7.54,뜨개질 (The Knitting),0,12,"['드라마', '멜로/로맨스']",[],,0,0
479,479,479,0,0,1455,9.52,뜨거운 안녕 (Rockin'on Heaven's Door),1,99,['드라마'],['2013.05.30'],12세,2013,5
480,480,480,0,0,111,8.81,라듸오 데이즈 (Radio Days),0,111,['코미디'],['2008.01.31'],12세,2008,1
481,481,481,0,0,381,8.4,라디오 스타 (Radio Star),1,115,"['코미디', '드라마']",['2006.09.28'],12세,2006,9
482,482,482,0,0,11,8.18,라라 선샤인 (LaLa Sunshine),0,63,"['스릴러', '범죄', '드라마']",['2009.10.22'],15세,2009,10
483,483,483,0,0,3799,8.83,라스트 갓파더 (The Last Godfather),0,103,['코미디'],['2010.12.29'],12세,2010,12
484,484,484,0,0,28,10,라이브 인 3D 휘성 : 잇츠 리얼,0,80,['공연실황'],['2010.09.30'],전체,2010,9
485,485,485,277,389,193,6.79,라이브TV (Live TV),0,86,['공포'],[],청소년,0,0
486,486,486,39,1159,20,7.11,라즈 온 에어 (RAZ on Air),0,31,['다큐멘터리'],[],,0,0
487,487,487,0,0,17,8.76,량강도 아이들,0,95,"['가족', '코미디']",['2011.11.17'],전체,2011,11
488,488,488,0,0,15,9.13,러브 인 코리아 (Love In Korea),0,80,['다큐멘터리'],['2013.08.08'],12세,2013,8
489,489,489,0,0,15,9.4,러브 토크 (Love Talk),0,118,"['멜로/로맨스', '드라마']",['2005.11.11'],청소년,2005,11
490,490,490,0,0,173,9.45,러브픽션 (LOVE FICTION),1,121,"['멜로/로맨스', '코미디']",['2012.02.29'],15세,2012,2
491,491,491,0,0,54,9.5,러시안 소설 (The Russian Novel),0,140,"['드라마', '미스터리']",['2013.09.19'],15세,2013,9
492,492,492,52,390,55,9.35,레나 (Dear..Lena),0,109,"['멜로/로맨스', '드라마']",['2016.05.26'],12세,2016,5
493,493,493,30,773,54,9.67,레드 툼 (Red Tomb),0,91,['다큐멘터리'],['2015.07.09'],,2015,7
494,494,494,132,791,35,8.51,레디액션 청춘 (The Youth),0,125,['드라마'],['2014.11.13'],청소년,2014,11
495,495,495,0,0,23,9.3,레바논 감정 (Lebanon Emotion),0,106,"['스릴러', '드라마', '멜로/로맨스']",['2014.02.27'],청소년,2014,2
496,496,496,130,259,25,7.96,레쓰링,0,85,['코미디'],['2014.09.11'],청소년,2014,9
497,497,497,0,0,20,8,렛 미 아웃 (Let Me Out),0,97,"['드라마', '코미디']",['2013.08.15'],12세,2013,8
498,498,498,31,298,26,8.77,로마서 8:37 (Romans 8:37),0,134,"['드라마', '가족', '범죄', '미스터리']",['2017.11.16'],15세,2017,11
499,499,499,670,1583,393,7.99,로마의 휴일,1,108,"['코미디', '드라마']",['2017.08.30'],15세,2017,8
500,500,500,0,0,14,9.64,로망은 없다 (What Is Not Romance),0,70,['애니메이션'],['2009.12.10'],12세,2009,12
501,501,501,0,0,16,8.19,로맨스 조 (ROMANCE JOE),0,115,"['드라마', '멜로/로맨스']",['2012.03.08'],15세,2012,3
502,502,502,0,18,13,10,로맨스를 원해 (Dreaming of Romance),0,19,[''],[],,0,0
503,503,503,0,0,80,9.44,로맨틱 아일랜드,0,107,"['멜로/로맨스', '코미디']",['2008.12.24'],15세,2008,12
504,504,504,0,0,71,9.72,로맨틱 헤븐 (Romantic Heaven),0,117,['드라마'],['2011.03.24'],12세,2011,3
505,505,505,7,69,14,4.29,로보트 태권V - 슈퍼-태권브이 (슈퍼 태권V[브이]: Super Taekwon V),0,0,['애니메이션'],[],,0,0
506,506,506,325,2606,410,6.79,로보트 태권브이,0,0,"['SF', '액션']",[],,0,0
507,507,507,777,5859,824,9.18,"로봇, 소리 (SORI: Voice from the Heart)",1,117,['드라마'],['2016.01.27'],12세,2016,1
508,508,508,0,0,342,8.94,롤러코스터 (Fasten Your Seatbelt),0,94,['코미디'],['2013.10.17'],15세,2013,10
509,509,509,2034,5696,507,7,루시드 드림 (Lucid Dream),0,101,"['SF', '스릴러']",['2017.02.22'],15세,2017,2
510,510,510,12,72,22,9.59,리코더 시험 (The Recorder Exam),0,28,"['드라마', '가족']",[],전체,0,0
511,511,511,0,0,15,8.78,리틀 제이콥,0,40,['애니메이션'],['2012.11.08'],,2012,11
512,512,512,0,0,118,5.71,마강호텔 (Magang Hotel),0,98,"['코미디', '액션']",['2007.02.22'],15세,2007,2
513,513,513,1585,7380,283,8.02,마담 뺑덕 (Scarlet Innocence),0,111,['멜로/로맨스'],['2014.10.02'],청소년,2014,10
514,514,514,0,0,716,9.15,"마당을 나온 암탉 (Leafie, A Hen into the Wild)",1,93,"['애니메이션', '가족', '모험', '드라마']",['2011.07.28'],전체,2011,7
515,515,515,16,429,44,9.61,마리안느와 마가렛,0,78,['다큐멘터리'],['2017.04.20'],전체,2017,4
516,516,516,0,0,144,7.58,마린 보이 (Marine Boy),0,118,"['범죄', '스릴러', '액션']",['2009.02.05'],15세,2009,2
517,517,517,0,0,108,7.39,마법천자문 - 대마왕의 부활을 막아라,0,85,['애니메이션'],['2010.08.19'],전체,2010,8
518,518,518,2,14,201,8.96,"마스크 속, 은밀한 자부심 (The Secret Within Her Mask)",0,18,"['드라마', '코미디']",[],,0,0
519,519,519,2331,18671,1352,8.59,마스터 (Master),0,143,"['액션', '범죄']",['2016.12.21'],15세,2016,12
520,520,520,0,0,43,7.81,마을금고 연쇄습격사건 (Bank Attack),0,111,['코미디'],['2007.11.14'],15세,2007,11
521,521,521,0,0,462,9.62,마음이 2 (Hearty Paws 2),1,92,"['가족', '코미디', '모험']",['2010.07.21'],전체,2010,7
522,522,522,0,0,503,9.16,마음이... (Heart Is),1,97,"['가족', '드라마']",['2006.10.26'],전체,2006,10
523,523,523,0,0,47,8.47,마이 라띠마 (Mai Ratima),0,126,"['드라마', '멜로/로맨스']",['2013.06.06'],청소년,2013,6
524,524,524,0,0,614,9.1,마이 리틀 히어로 (My little hero),1,135,['드라마'],['2013.01.09'],전체,2013,1
525,525,525,0,0,215,9.07,마이 블랙 미니드레스 (Little Black Dress),0,108,['드라마'],['2011.03.24'],15세,2011,3
526,526,526,0,0,84,9.52,"마이 캡틴 김대출 (My Captain, Mr. Underground)",0,104,"['드라마', '코미디']",['2006.04.20'],12세,2006,4
527,527,527,387,343,123,3.8,마이 페어 웨딩 (My Fair Wedding),0,94,['다큐멘터리'],['2015.06.04'],12세,2015,6
528,528,528,0,0,17,8.71,마이 플레이스 (My Place),0,77,['다큐멘터리'],['2014.01.30'],전체,2014,1
529,529,529,284,260,71,4.72,마이너클럽,0,95,"['드라마', '액션']",[],청소년,0,0
530,530,530,25,123,52,8.71,마이보이 (My Boy),0,99,"['가족', '드라마']",['2014.04.10'],12세,2014,4
531,531,531,477,3336,221,5.83,마지막 위안부 (The Last Comfort Women),1,91,['드라마'],[],15세,0,0
532,532,532,0,0,15,3.6,마지막 중독,0,50,"['멜로/로맨스', '드라마']",['2013.04.17'],,2013,4
533,533,533,89,919,59,9.07,마차 타고 고래고래 (Blue Busking),0,97,['드라마'],['2017.05.18'],15세,2017,5
534,534,534,0,0,106,7.9,마파도 (Mapado),1,105,"['코미디', '모험']",['2005.03.10'],15세,2005,3
535,535,535,0,0,165,6.78,마파도 2 (Mapado 2),0,129,"['코미디', '모험']",['2007.01.18'],12세,2007,1
536,536,536,135,3469,786,9.75,막걸스 (Makgeolli Girls),0,103,['코미디'],['2015.05.21'],15세,2015,5
537,537,537,0,0,145,7.79,만남의 광장 (Underground Rendez-vous),1,107,['코미디'],['2007.08.15'],12세,2007,8
538,538,538,18,397,87,9.54,만담강호,0,73,"['코미디', '액션']",['2017.03.22'],청소년,2017,3
539,539,539,0,0,181,9.29,만신 (MANSHIN: Ten Thousand Spirits),0,104,"['다큐멘터리', '드라마']",['2014.03.06'],15세,2014,3
540,540,540,0,0,26,8.54,만찬 (The Dinner),0,125,"['가족', '멜로/로맨스', '드라마']",['2014.01.23'],15세,2014,1
541,541,541,0,0,315,8.36,만추 (?秋),1,115,"['드라마', '']",['2011.02.17'],15세,2011,2
542,542,542,0,0,188,9.29,말아톤 (Malaton),1,115,['드라마'],['2005.01.27'],전체,2005,1
543,543,543,0,0,14,7.92,말죽거리 잔혹사 (Spirit Of Jeet Keun Do),0,116,"['드라마', '액션', '멜로/로맨스']",['2004.01.16'],15세,2004,1
544,544,544,0,0,20,7.79,말하는 건축 시티:홀 (City: hall),0,106,['다큐멘터리'],['2013.10.24'],전체,2013,10
545,545,545,0,0,16,9,말하는 건축가 (Talking Architect),0,95,['다큐멘터리'],['2012.03.08'],전체,2012,3
546,546,546,201,388,63,6.86,말하지 못한 비밀 (Black Idols),0,102,['드라마'],['2015.10.22'],청소년,2015,10
547,547,547,38,63,20,3.2,맛 2016: 삼시색기,0,80,['멜로/로맨스'],[],청소년,0,0
548,548,548,10,13,10,2.8,맛있는 영화,0,67,['멜로/로맨스'],[],청소년,0,0
549,549,549,26,42,14,3.71,맛있는 정사 : 오피스 와이프 (My Office Wife),0,64,['멜로/로맨스'],[],청소년,0,0
550,550,550,17,45,12,3.25,망각과 기억2 : 돌아 봄 Part 1. (Forgetting and Remembering 2 : reflection),0,103,['다큐멘터리'],['2017.04.16'],,2017,4
551,551,551,33,183,21,9.14,망원동 인공위성 (The Basement Satellite),0,108,['다큐멘터리'],['2015.02.05'],12세,2015,2
552,552,552,22,931,74,9.81,맞춤희곡 (The Customized Play),0,90,"['애니메이션', '스릴러', '드라마', '판타지']",[],,0,0
553,553,553,29,150,19,8,매너선생님,0,78,['코미디'],['2016.09.22'],청소년,2016,9
554,554,554,23,71,28,6.61,매춘 2016,0,79,['멜로/로맨스'],[],청소년,0,0
555,555,555,0,0,50,5.72,맨데이트: 신이 주신 임무 (Mandate),0,87,"['액션', '스릴러', '판타지']",['2008.10.30'],청소년,2008,10
556,556,556,0,0,383,8.66,맨발의 기봉이 (Barefoot Gi Bong),1,100,"['코미디', '드라마']",['2006.04.26'],전체,2006,4
557,557,557,0,0,200,9.54,맨발의 꿈 (A Barefoot Dream),0,121,['드라마'],['2010.06.24'],전체,2010,6
558,558,558,1139,5589,725,7.28,맨홀 (Manhole),0,101,"['공포', '스릴러']",['2014.10.08'],청소년,2014,10
559,559,559,15,233,63,9.51,머털 도사 (Taoist Mutul),0,0,"['애니메이션', '액션', '코미디']",[],,0,0
560,560,560,26,267,24,6.17,먹는 존재,0,10,"['코미디', '드라마']",['2015.11.12'],,2015,11
561,561,561,0,0,17,9.76,멋진 인생 (The Story Of My Life),0,100,"['뮤지컬', '드라마']",['2011.06.09'],12세,2011,6
562,562,562,25,208,25,9.08,메리 크리스마스 미스터 모 (Merry Christmas Mr. Mo),0,101,['블랙코미디'],['2017.12.14'],12세,2017,12
563,563,563,60,1538,27,9.22,메밀꽃 필 무렵 (When Bucketwheet Flowers Blossom),0,25,['애니메이션'],[],전체,0,0
564,564,564,52,1618,103,9.37,"메밀꽃, 운수 좋은 날, 그리고 봄봄 (The road called life)",0,90,['애니메이션'],['2014.08.21'],전체,2014,8
565,565,565,549,3010,406,5.58,메소드 (METHOD),1,82,"['드라마', '멜로/로맨스']",['2017.11.02'],15세,2017,11
566,566,566,60,637,58,9.4,메이드 인 차이나 (Made in China),0,100,[''],['2015.06.25'],청소년,2015,6
567,567,567,448,1523,405,8.66,메이크 유어 무브 (Make Your Move),0,110,"['멜로/로맨스', '드라마']",['2014.04.17'],12세,2014,4
568,568,568,80,551,39,6.97,메이킹 패밀리 (幸福家庭打造??),0,100,[''],[],12세,0,0
569,569,569,16,54,15,7.31,멜로 (Melo),0,119,"['드라마', '멜로/로맨스', '스릴러']",['2014.04.24'],청소년,2014,4
570,570,570,215,673,58,7.62,멜리스 (Malice),0,95,"['공포', '스릴러']",['2016.02.11'],15세,2016,2
571,571,571,195,382,94,6.37,명량: 회오리 바다를 향하여,0,95,['다큐멘터리'],['2015.05.07'],12세,2015,5
572,572,572,15,118,10,8,명령불복종 교사 (The Disobeying Teachers),0,96,['다큐멘터리'],['2015.05.14'],,2015,5
573,573,573,0,0,260,8.84,명왕성 (Pluto),1,107,"['드라마', '스릴러']",['2013.07.11'],15세,2013,7
574,574,574,0,0,260,9.03,모노폴리 (Monopoly),0,91,"['범죄', '스릴러']",['2006.06.01'],15세,2006,6
575,575,575,0,0,121,9.6,모던 보이 (Modern Boy),1,121,"['드라마', '멜로/로맨스', '미스터리', '액션']",['2008.10.02'],12세,2008,10
576,576,576,0,0,32,8.09,"모두들, 괜찮아요? (Family Matters)",0,104,"['가족', '코미디']",['2006.03.24'],15세,2006,3
577,577,577,0,0,11,7.45,모래가 흐르는 강 (Following Sand River),0,75,['다큐멘터리'],['2013.03.28'],,2013,3
578,578,578,305,2635,737,9.83,모범생 (Schoolgirl),1,100,['스릴러'],['2017.11.17'],청소년,2017,11
579,579,579,46,561,46,9.41,목격자의 밤 (The Night of the Witness),0,28,"['드라마', '스릴러']",[],12세,0,0
580,580,580,115,1222,207,9.38,목숨 (The Hospice),0,95,['다큐멘터리'],['2014.12.04'],12세,2014,12
581,581,581,745,4556,191,8.54,목숨 건 연애 (Life Risking Romance),0,103,"['멜로/로맨스', '코미디', '스릴러']",['2016.12.14'],15세,2016,12
582,582,582,0,0,159,8.22,못말리는 결혼 (Unstoppable Marriage),0,115,['코미디'],['2007.05.10'],15세,2007,5
583,583,583,19,98,22,9.77,몽골리안 프린세스 (Mongolian Princess),0,80,"['멜로/로맨스', '드라마']",['2015.03.19'],청소년,2015,3
584,584,584,0,0,125,3.24,몽정기 2 (Wet Dreams 2),0,101,"['드라마', '코미디']",['2005.01.14'],15세,2005,1
585,585,585,0,0,27,8,무게 (The weight),0,108,['드라마'],['2013.11.07'],청소년,2013,11
586,586,586,0,0,58,8.07,무도리 (無道里: Moodori),0,100,['코미디'],['2006.09.21'],15세,2006,9
587,587,587,553,4059,201,9.53,무뢰한 (The Shameless),0,118,"['멜로/로맨스', '드라마']",['2015.05.27'],청소년,2015,5
588,588,588,0,0,104,6.53,무림여대생 (My Mighty Princess),0,115,"['멜로/로맨스', '액션', '코미디']",['2008.06.26'],15세,2008,6
589,589,589,6,138,29,8.48,무림일검의 사생활 (A Coffee Vending Machine and its Sword),0,30,"['애니메이션', '멜로/로맨스', '액션', '판타지']",[],,0,0
590,590,590,23,196,66,9,무명인 (Genome Hazard),0,120,"['미스터리', '스릴러', '액션']",['2014.05.29'],15세,2014,5
591,591,591,0,0,38,9.62,무산일기 (The Journals Of Musan),0,127,['드라마'],['2011.04.14'],15세,2011,4
592,592,592,0,0,744,8.76,무서운 이야기 2 (Horror Stories II),0,95,['공포'],['2013.06.05'],15세,2013,6
593,593,593,696,1951,168,7.44,무서운 이야기 3 : 화성에서 온 소녀 (Horror Stories III),0,94,['공포'],['2016.06.01'],15세,2016,6
594,594,594,146,180,100,5.45,무서운 집 (Scary house),0,98,['공포'],"['2015.08.08', '2015.07.30']",12세,2015,8
595,595,595,631,1271,507,7.15,무수단 (MUSUDAN),0,87,"['미스터리', '스릴러']",['2016.03.03'],15세,2016,3
596,596,596,6,130,10,8.1,무스탕 가는 길 (The Way to Mustang),0,128,['다큐멘터리'],[],,0,0
597,597,597,0,0,148,8.23,무영검 (無影劍),0,104,['액션'],['2005.11.18'],12세,2005,11
598,598,598,0,0,354,7.55,무적자 (A Better Tomorrow),1,124,"['액션', '드라마']",['2010.09.16'],15세,2010,9
599,599,599,432,3819,606,7.17,"무현, 두 도시 이야기 (Moo-hyun, Tale of Two Cities)",0,124,['다큐멘터리'],"['2017.08.30', '2016.10.26']",15세,2017,8
601,601,601,0,0,49,8.88,물 없는 바다 (Sea without Water),0,88,"['멜로/로맨스', '드라마']",['2011.12.08'],15세,2011,12
602,602,602,38,556,179,9.58,물숨 (Breathing Underwater),0,81,"['다큐멘터리', '드라마']",['2016.09.29'],전체,2016,9
603,603,603,0,0,115,7.57,므이,0,93,['공포'],['2007.07.25'],15세,2007,7
604,604,604,0,0,3143,7.62,미나문방구 (Happiness for Sale),0,106,"['드라마', '코미디']",['2013.05.16'],전체,2013,5
605,605,605,0,0,883,8.16,미녀는 괴로워 (200 Pounds Beauty),1,120,"['코미디', '멜로/로맨스', '드라마']",['2006.12.14'],12세,2006,12
606,606,606,0,0,11,4.27,미녀전쟁,0,81,['코미디'],['2013.12.19'],청소년,2013,12
607,607,607,16,139,26,8.58,미라클 여행기 (Mira Story),0,84,['다큐멘터리'],['2015.01.15'],전체,2015,1
608,608,608,138,193,32,8.31,미션: 톱스타를 훔쳐라 (Mission: Kidnap the Top Star),0,85,"['코미디', '액션']",['2015.09.03'],청소년,2015,9
609,609,609,254,173,67,3.1,미션스쿨 (Mission School),0,62,['드라마'],['2015.10.15'],12세,2015,10
610,610,610,1,15,59,9.71,미스 마플과의 하룻밤 (My Night With Miss Marple),0,15,[''],[],,0,0
611,611,611,142,354,78,5.21,미스 푸줏간,0,94,"['코미디', '스릴러']",[],청소년,0,0
612,612,612,1717,705,106,7.25,미스 프레지던트,0,85,['다큐멘터리'],['2017.10.26'],,2017,10
613,613,613,0,0,18,9.56,"미스진은 예쁘다 (Beautiful, Miss Jin)",0,98,['드라마'],['2013.03.14'],12세,2013,3
614,614,614,0,0,130,8.55,미스체인지 (Mischange),0,100,['코미디'],['2013.09.05'],청소년,2013,9
615,615,615,0,0,5618,8.52,미스터 고 (Mr. Go),0,132,"['드라마', '코미디', '액션']",['2013.07.17'],12세,2013,7
616,616,616,0,0,108,8.27,미스터 소크라테스 (Mr. Socrates),0,109,"['범죄', '액션', '코미디']",['2005.11.10'],청소년,2005,11
